bus1,bus2,length,unit,config
0,800,0,ft,reg0
800,802,2580,ft,300
802,806,1730,ft,300
806,808,32230,ft,300
808,810,5804,ft,303
808,812,37500,ft,300
812,814,29730,ft,300
814,815,0,ft,reg1
815,850,10,ft,301
816,818,1710,ft,302
816,824,10210,ft,301
818,820,48150,ft,302
820,822,13740,ft,302
824,826,3030,ft,303
824,828,840,ft,301
828,830,20440,ft,301
830,854,520,ft,301
832,858,4900,ft,301
832,888,0,ft,xfm1
834,860,2020,ft,301
834,842,280,ft,301
836,840,860,ft,301
836,862,280,ft,301
842,844,1350,ft,301
844,846,3640,ft,301
846,848,530,ft,301
850,816,310,ft,301
852,853,0,ft,reg2
853,832,10,ft,301
854,856,23330,ft,303
854,852,36830,ft,301
858,864,1620,ft,302
858,834,5830,ft,301
860,836,2680,ft,301
862,838,4860,ft,304
888,890,10560,ft,300
